hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
KTo,SB,opening_raise,0.176484,6,500000,0.000000,0.175427,0.177541,false
K5s,SB,opening_raise,0.176140,6,500000,0.000000,0.175084,0.177196,false
55,SB,opening_raise,0.175874,6,500000,0.000000,0.174819,0.176929,false
K4s,SB,opening_raise,0.174896,6,500000,0.000000,0.173843,0.175949,false
K3s,SB,opening_raise,0.173838,6,500000,0.000000,0.172788,0.174888,false
QTo,SB,opening_raise,0.173764,6,500000,0.000000,0.172714,0.174814,false
K2s,SB,opening_raise,0.173470,6,500000,0.000000,0.172420,0.174520,false
Q7s,SB,opening_raise,0.170256,6,500000,0.000000,0.169214,0.171298,false
87s,SB,opening_raise,0.169682,6,500000,0.000000,0.168642,0.170722,true
A5o,SB,opening_raise,0.169396,6,500000,0.000000,0.168356,0.170436,false
A2o,SB,opening_raise,0.168638,6,500000,0.000000,0.167600,0.169676,false
A3o,SB,opening_raise,0.167824,6,500000,0.000000,0.166788,0.168860,false
JTo,SB,opening_raise,0.167638,6,500000,0.000000,0.166603,0.168673,false
A4o,SB,opening_raise,0.167272,6,500000,0.000000,0.166237,0.168307,false
A7o,SB,opening_raise,0.167200,6,500000,0.000000,0.166166,0.168234,false
44,SB,opening_raise,0.166988,6,500000,0.000000,0.165954,0.168022,false
J7s,SB,opening_raise,0.166324,6,500000,0.000000,0.165292,0.167356,false
97s,SB,opening_raise,0.166232,6,500000,0.000000,0.165200,0.167264,false
T7s,SB,opening_raise,0.165736,6,500000,0.000000,0.164705,0.166767,false
K9o,SB,opening_raise,0.165030,6,500000,0.000000,0.164001,0.166059,false
Q6s,SB,opening_raise,0.163856,6,500000,0.000000,0.162830,0.164882,false
33,SB,opening_raise,0.161904,6,500000,0.000000,0.160883,0.162925,false
Q5s,SB,opening_raise,0.161798,6,500000,0.000000,0.160777,0.162819,false
Q9o,SB,opening_raise,0.159888,6,500000,0.000000,0.158872,0.160904,false
Q4s,SB,opening_raise,0.159540,6,500000,0.000000,0.158525,0.160555,false
Q3s,SB,opening_raise,0.159272,6,500000,0.000000,0.158258,0.160286,false
A6o,SB,opening_raise,0.159186,6,500000,0.000000,0.158172,0.160200,false
Q2s,SB,opening_raise,0.158774,6,500000,0.000000,0.157761,0.159787,false
22,SB,opening_raise,0.156842,6,500000,0.000000,0.155834,0.157850,false
J9o,SB,opening_raise,0.156678,6,500000,0.000000,0.155670,0.157686,false
T9o,SB,opening_raise,0.156194,6,500000,0.000000,0.155188,0.157200,false
86s,SB,opening_raise,0.154340,6,500000,0.000000,0.153339,0.155341,false
76s,SB,opening_raise,0.152588,6,500000,0.000000,0.151591,0.153585,true
K8o,SB,opening_raise,0.152518,6,500000,0.000000,0.151521,0.153515,false
96s,SB,opening_raise,0.151844,6,500000,0.000000,0.150849,0.152839,false
Q8o,SB,opening_raise,0.150820,6,500000,0.000000,0.149828,0.151812,false
54s,SB,opening_raise,0.150394,6,500000,0.000000,0.149403,0.151385,false
J6s,SB,opening_raise,0.150250,6,500000,0.000000,0.149260,0.151240,false
65s,SB,opening_raise,0.150174,6,500000,0.000000,0.149184,0.151164,true
98o,SB,opening_raise,0.149716,6,500000,0.000000,0.148727,0.150705,false
J5s,SB,opening_raise,0.149488,6,500000,0.000000,0.148500,0.150476,false
T6s,SB,opening_raise,0.149330,6,500000,0.000000,0.148342,0.150318,false
J8o,SB,opening_raise,0.149188,6,500000,0.000000,0.148200,0.150176,false
T8o,SB,opening_raise,0.149134,6,500000,0.000000,0.148147,0.150121,false
75s,SB,opening_raise,0.148022,6,500000,0.000000,0.147038,0.149006,false
J4s,SB,opening_raise,0.147086,6,500000,0.000000,0.146104,0.148068,false
J3s,SB,opening_raise,0.146856,6,500000,0.000000,0.145875,0.147837,false
J2s,SB,opening_raise,0.145890,6,500000,0.000000,0.144912,0.146868,false
85s,SB,opening_raise,0.144658,6,500000,0.000000,0.143683,0.145633,false
K7o,SB,opening_raise,0.143924,6,500000,0.000000,0.142951,0.144897,false
64s,SB,opening_raise,0.140554,6,500000,0.000000,0.139591,0.141517,false
53s,SB,opening_raise,0.140306,6,500000,0.000000,0.139343,0.141269,false
95s,SB,opening_raise,0.139356,6,500000,0.000000,0.138396,0.140316,false
T5s,SB,opening_raise,0.138836,6,500000,0.000000,0.137878,0.139794,false
K6o,SB,opening_raise,0.137564,6,500000,0.000000,0.136609,0.138519,false
43s,SB,opening_raise,0.137160,6,500000,0.000000,0.136206,0.138114,false
74s,SB,opening_raise,0.136374,6,500000,0.000000,0.135423,0.137325,false
T3s,SB,opening_raise,0.136140,6,500000,0.000000,0.135189,0.137091,false
T4s,SB,opening_raise,0.136042,6,500000,0.000000,0.135092,0.136992,false
T2s,SB,opening_raise,0.134190,6,500000,0.000000,0.133245,0.135135,false
K5o,SB,opening_raise,0.133642,6,500000,0.000000,0.132699,0.134585,false
84s,SB,opening_raise,0.132352,6,500000,0.000000,0.131413,0.133291,false
87o,SB,opening_raise,0.131720,6,500000,0.000000,0.130783,0.132657,false
K4o,SB,opening_raise,0.131550,6,500000,0.000000,0.130613,0.132487,false
52s,SB,opening_raise,0.130920,6,500000,0.000000,0.129985,0.131855,false
K2o,SB,opening_raise,0.129958,6,500000,0.000000,0.129026,0.130890,false
K3o,SB,opening_raise,0.129776,6,500000,0.000000,0.128844,0.130708,false
42s,SB,opening_raise,0.129618,6,500000,0.000000,0.128687,0.130549,false
94s,SB,opening_raise,0.129184,6,500000,0.000000,0.128254,0.130114,false
Q7o,SB,opening_raise,0.129132,6,500000,0.000000,0.128202,0.130062,false
63s,SB,opening_raise,0.128922,6,500000,0.000000,0.127993,0.129851,false
97o,SB,opening_raise,0.128772,6,500000,0.000000,0.127844,0.129700,false
93s,SB,opening_raise,0.128200,6,500000,0.000000,0.127273,0.129127,false
92s,SB,opening_raise,0.127164,6,500000,0.000000,0.126241,0.128087,false
T7o,SB,opening_raise,0.126206,6,500000,0.000000,0.125286,0.127126,false
J7o,SB,opening_raise,0.126064,6,500000,0.000000,0.125144,0.126984,false
32s,SB,opening_raise,0.125870,6,500000,0.000000,0.124951,0.126789,false
73s,SB,opening_raise,0.125786,6,500000,0.000000,0.124867,0.126705,false
Q6o,SB,opening_raise,0.121698,6,500000,0.000000,0.120792,0.122604,false
83s,SB,opening_raise,0.121658,6,500000,0.000000,0.120752,0.122564,false
82s,SB,opening_raise,0.120142,6,500000,0.000000,0.119241,0.121043,false
Q5o,SB,opening_raise,0.119600,6,500000,0.000000,0.118701,0.120499,false
62s,SB,opening_raise,0.118324,6,500000,0.000000,0.117429,0.119219,false
Q3o,SB,opening_raise,0.116768,6,500000,0.000000,0.115878,0.117658,false
Q4o,SB,opening_raise,0.116738,6,500000,0.000000,0.115848,0.117628,false
86o,SB,opening_raise,0.115992,6,500000,0.000000,0.115104,0.116880,false
72s,SB,opening_raise,0.114988,6,500000,0.000000,0.114104,0.115872,false
Q2o,SB,opening_raise,0.114258,6,500000,0.000000,0.113376,0.115140,false
76o,SB,opening_raise,0.114220,6,500000,0.000000,0.113338,0.115102,false
54o,SB,opening_raise,0.111482,6,500000,0.000000,0.110610,0.112354,false
65o,SB,opening_raise,0.111444,6,500000,0.000000,0.110572,0.112316,false
96o,SB,opening_raise,0.111268,6,500000,0.000000,0.110396,0.112140,false
J6o,SB,opening_raise,0.109486,6,500000,0.000000,0.108620,0.110352,false
T6o,SB,opening_raise,0.108998,6,500000,0.000000,0.108134,0.109862,false
75o,SB,opening_raise,0.108932,6,500000,0.000000,0.108068,0.109796,false
J5o,SB,opening_raise,0.106294,6,500000,0.000000,0.105440,0.107148,false
85o,SB,opening_raise,0.104562,6,500000,0.000000,0.103714,0.105410,false
J4o,SB,opening_raise,0.103730,6,500000,0.000000,0.102885,0.104575,false
J3o,SB,opening_raise,0.102916,6,500000,0.000000,0.102074,0.103758,false
J2o,SB,opening_raise,0.102162,6,500000,0.000000,0.101323,0.103001,false
53o,SB,opening_raise,0.101988,6,500000,0.000000,0.101149,0.102827,false
64o,SB,opening_raise,0.100672,6,500000,0.000000,0.099838,0.101506,false
95o,SB,opening_raise,0.098410,6,500000,0.000000,0.097584,0.099236,false
43o,SB,opening_raise,0.097386,6,500000,0.000000,0.096564,0.098208,false
T5o,SB,opening_raise,0.096474,6,500000,0.000000,0.095656,0.097292,false
74o,SB,opening_raise,0.095856,6,500000,0.000000,0.095040,0.096672,false
T4o,SB,opening_raise,0.094562,6,500000,0.000000,0.093751,0.095373,false
T3o,SB,opening_raise,0.093016,6,500000,0.000000,0.092211,0.093821,false
T2o,SB,opening_raise,0.091926,6,500000,0.000000,0.091125,0.092727,false
84o,SB,opening_raise,0.091566,6,500000,0.000000,0.090767,0.092365,false
