hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
Q3o,CO,4_bet,0.116768,6,500000,0.000000,0.115878,0.117658,false
Q4o,CO,4_bet,0.116738,6,500000,0.000000,0.115848,0.117628,false
86o,CO,4_bet,0.115992,6,500000,0.000000,0.115104,0.116880,false
72s,CO,4_bet,0.114988,6,500000,0.000000,0.114104,0.115872,false
Q2o,CO,4_bet,0.114258,6,500000,0.000000,0.113376,0.115140,false
76o,CO,4_bet,0.114220,6,500000,0.000000,0.113338,0.115102,false
54o,CO,4_bet,0.111482,6,500000,0.000000,0.110610,0.112354,false
65o,CO,4_bet,0.111444,6,500000,0.000000,0.110572,0.112316,false
96o,CO,4_bet,0.111268,6,500000,0.000000,0.110396,0.112140,false
J6o,CO,4_bet,0.109486,6,500000,0.000000,0.108620,0.110352,false
T6o,CO,4_bet,0.108998,6,500000,0.000000,0.108134,0.109862,false
75o,CO,4_bet,0.108932,6,500000,0.000000,0.108068,0.109796,false
J5o,CO,4_bet,0.106294,6,500000,0.000000,0.105440,0.107148,false
85o,CO,4_bet,0.104562,6,500000,0.000000,0.103714,0.105410,false
J4o,CO,4_bet,0.103730,6,500000,0.000000,0.102885,0.104575,false
J3o,CO,4_bet,0.102916,6,500000,0.000000,0.102074,0.103758,false
J2o,CO,4_bet,0.102162,6,500000,0.000000,0.101323,0.103001,false
53o,CO,4_bet,0.101988,6,500000,0.000000,0.101149,0.102827,false
64o,CO,4_bet,0.100672,6,500000,0.000000,0.099838,0.101506,false
95o,CO,4_bet,0.098410,6,500000,0.000000,0.097584,0.099236,false
43o,CO,4_bet,0.097386,6,500000,0.000000,0.096564,0.098208,false
T5o,CO,4_bet,0.096474,6,500000,0.000000,0.095656,0.097292,false
74o,CO,4_bet,0.095856,6,500000,0.000000,0.095040,0.096672,false
T4o,CO,4_bet,0.094562,6,500000,0.000000,0.093751,0.095373,false
T3o,CO,4_bet,0.093016,6,500000,0.000000,0.092211,0.093821,false
T2o,CO,4_bet,0.091926,6,500000,0.000000,0.091125,0.092727,false
84o,CO,4_bet,0.091566,6,500000,0.000000,0.090767,0.092365,false
52o,CO,4_bet,0.090868,6,500000,0.000000,0.090071,0.091665,false
42o,CO,4_bet,0.088224,6,500000,0.000000,0.087438,0.089010,false
63o,CO,4_bet,0.087558,6,500000,0.000000,0.086775,0.088341,false
94o,CO,4_bet,0.087226,6,500000,0.000000,0.086444,0.088008,false
93o,CO,4_bet,0.085222,6,500000,0.000000,0.084448,0.085996,false
32o,CO,4_bet,0.084772,6,500000,0.000000,0.084000,0.085544,false
92o,CO,4_bet,0.084338,6,500000,0.000000,0.083568,0.085108,false
73o,CO,4_bet,0.083424,6,500000,0.000000,0.082658,0.084190,false
83o,CO,4_bet,0.079794,6,500000,0.000000,0.079043,0.080545,false
82o,CO,4_bet,0.078846,6,500000,0.000000,0.078099,0.079593,false
62o,CO,4_bet,0.076274,6,500000,0.000000,0.075538,0.077010,false
72o,CO,4_bet,0.073280,6,500000,0.000000,0.072558,0.074002,false
